date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:23	17352/17352	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202023%2009:41:00%20GMT	https://shibacore.org/images/icon/staking.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/icon/staking.png	(from https://shibacore.org/)
12:26:25	12834/12834	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202023%2010:18:31%20GMT	https://shibacore.org/images/icon/max.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/icon/max.png	(from https://shibacore.org/)
12:26:26	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2011:26:27%20GMT	https://shibacore.org/images/icon/tax.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/icon/tax.png	(from https://shibacore.org/)
12:26:26	34554/34554	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Feb%202023%2003:22:03%20GMT	https://shibacore.org/images/about/08.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/about/08.png	(from https://shibacore.org/)
12:26:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2011:26:29%20GMT	https://shibacore.org/transparent	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/transparent	(from https://shibacore.org/)
12:26:29	100729/100729	---M--	200	added ('OK')	application/json	date:Sat,%2004%20Feb%202023%2005:26:20%20GMT	https://shibacore.org/video/shibcore-meta-green.json	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/video/shibcore-meta-green.json	(from https://shibacore.org/)
12:26:30	89501/89501	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/jquery-min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/jquery-min.js	(from https://shibacore.org/)
12:26:30	18748/18748	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202023%2016:42:08%20GMT	https://shibacore.org/js/popper.min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/popper.min.js	(from https://shibacore.org/)
12:26:31	59853/59853	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202023%2016:41:45%20GMT	https://shibacore.org/js/bootstrap.min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/bootstrap.min.js	(from https://shibacore.org/)
12:26:32	8395/8395	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/timeline.min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/timeline.min.js	(from https://shibacore.org/)
12:26:32	224015/224015	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202023%2016:41:35%20GMT	https://shibacore.org/js/all-plugins.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/all-plugins.js	(from https://shibacore.org/)
